ID_ESTADO;UF;CAPITAL;SIGLA;REGIAO;Cidade;PIB;Pop_est_2009;PIB_percapita
2;ALAGOAS;68;AL;NORDESTE;Barra de Santo Antônio;53292.31640625;14435;3691.87988281
2;ALAGOAS;68;AL;NORDESTE;Boca da Mata;152409.21875;26030;5855.14013672
2;ALAGOAS;68;AL;NORDESTE;Porto Calvo;131020.25;26044;5030.72998047
2;ALAGOAS;68;AL;NORDESTE;Lagoa da Canoa;60461.83984375;18196;3322.81005859
2;ALAGOAS;68;AL;NORDESTE;Cajueiro;77771.0703125;20825;3734.51000977
2;ALAGOAS;68;AL;NORDESTE;Satuba;56080.00390625;14779;3794.57006836
2;ALAGOAS;68;AL;NORDESTE;São Sebastião;123021.7890625;32181;3822.81005859
2;ALAGOAS;68;AL;NORDESTE;Maragogi;115097.2109375;26978;4266.33984375
2;ALAGOAS;68;AL;NORDESTE;Maribondo;55018.47265625;14144;3889.87988281
2;ALAGOAS;68;AL;NORDESTE;Inhapi;49013.73046875;18166;2698.10009766
2;ALAGOAS;68;AL;NORDESTE;Delmiro Gouveia;276627.6875;48462;5708.14013672
2;ALAGOAS;68;AL;NORDESTE;Porto de Pedras;37205.45703125;10649;3493.80004883
2;ALAGOAS;68;AL;NORDESTE;Santa Luzia do Norte;53447.09765625;7572;7058.52001953
2;ALAGOAS;68;AL;NORDESTE;Flexeiras;45588.03125;12290;3709.36010742
2;ALAGOAS;68;AL;NORDESTE;Roteiro;38793.6640625;6864;5651.75976562
2;ALAGOAS;68;AL;NORDESTE;Jundiá;21836.53515625;4698;4648.04980469
2;ALAGOAS;68;AL;NORDESTE;Tanque D'Arca;18489.390625;5766;3206.62011719
2;ALAGOAS;68;AL;NORDESTE;Arapiraca;1658976.875;210521;7880.33984375
2;ALAGOAS;68;AL;NORDESTE;Olho D'Água das Flores;70390.265625;20555;3424.47998047
2;ALAGOAS;68;AL;NORDESTE;Viçosa;95608.140625;26830;3563.47998047
2;ALAGOAS;68;AL;NORDESTE;Maravilha;33863.60546875;10110;3349.52001953
2;ALAGOAS;68;AL;NORDESTE;Pão de Açúcar;85304.7265625;24534;3477.0
2;ALAGOAS;68;AL;NORDESTE;Girau do Ponciano;111610.8828125;36904;3024.36010742
2;ALAGOAS;68;AL;NORDESTE;Chã Preta;26925.03125;7073;3806.72998047
2;ALAGOAS;68;AL;NORDESTE;Monteirópolis;22985.1328125;7292;3152.10009766
2;ALAGOAS;68;AL;NORDESTE;Palestina;15465.23339844;5071;3049.73999023
2;ALAGOAS;68;AL;NORDESTE;Capela;73067.953125;17366;4207.52978516
2;ALAGOAS;68;AL;NORDESTE;Feliz Deserto;34067.5078125;4568;7457.85986328
2;ALAGOAS;68;AL;NORDESTE;São Luís do Quitunde;179677.546875;32871;5466.14013672
2;ALAGOAS;68;AL;NORDESTE;Piranhas;73379.25;25107;2922.65991211
2;ALAGOAS;68;AL;NORDESTE;São José da Tapera;85124.4453125;31361;2714.34008789
2;ALAGOAS;68;AL;NORDESTE;Matriz de Camaragibe;102110.5078125;25493;4005.42993164
2;ALAGOAS;68;AL;NORDESTE;Atalaia;208935.734375;53023;3940.4699707
